通し番号,投票区,番号,名称,住所,設置説明
303,43,1,43-1 南茨木駅東口道路鉄柵,大阪府茨木市沢良宜西一丁目１,南茨木駅東口道路鉄柵
304,43,2,43-2 パロスサワラギ南側水路鉄柵,大阪府茨木市沢良宜西一丁目４,パロスサワラギ南側水路鉄柵
305,43,3,43-3 日伸マンション前歩道鉄柵,大阪府茨木市天王二丁目１０－２４,日伸マンション前歩道鉄柵
306,43,4,43-4 沢良宜西会館西側金網,大阪府茨木市沢良宜西一丁目１６-１,沢良宜西会館西側金網
307,43,5,43-5 ベストライフ南茨木南側鉄柵,大阪府茨木市天王二丁目３,ベストライフ南茨木南側鉄柵
308,43,6,43-6 モノレール南茨木駅西側北階段下道路鉄柵,大阪府茨木市天王二丁目１,モノレール南茨木駅西側北階段下道路鉄柵
309,43,7,43-7 天王小学校東門の塀,大阪府茨木市天王二丁目１３－５７,天王小学校東門の塀
310,44,1,44-1 南茨木駅北自転車駐車場西側道路鉄柵,大阪府茨木市東奈良三丁目１４,南茨木駅北自転車駐車場西側道路鉄柵
311,44,2,44-2 シルバー人材センター北側公園西側鉄柵,大阪府茨木市東奈良一丁目２,シルバー人材センター北側公園西側鉄柵
312,44,3,44-3 おおさかや酒店南側歩道鉄柵,大阪府茨木市東奈良二丁目１,おおさかや酒店南側歩道鉄柵
313,44,4,44-4 東奈良小学校西側ブロック塀,大阪府茨木市東奈良二丁目５－３６,東奈良小学校西側ブロック塀
314,44,5,44-5 文化財資料館玄関向かいの「小川」の鉄柵,大阪府茨木市東奈良二丁目１８,文化財資料館玄関向かいの「小川」の鉄柵
315,44,6,44-6 美沢ハイタウンＡ棟西側水路鉄柵,大阪府茨木市美沢町７,美沢ハイタウンＡ棟西側水路鉄柵
316,44,7,44-7 阪急オアシス入口東側水路鉄柵,大阪府茨木市東奈良三丁目１５,阪急オアシス入口東側水路鉄柵
317,44,8,44-8 美沢ハイタウンＧ棟東側道路鉄柵,大阪府茨木市美沢町１,美沢ハイタウンＧ棟東側道路鉄柵
318,45,1,45-1 山手台新町中央公園南側鉄柵,大阪府茨木市山手台新町二丁目１１,山手台新町中央公園南側鉄柵
319,45,2,45-2 山手台東公園西側金網,大阪府茨木市山手台五丁目１１,山手台東公園西側金網
320,45,3,45-3 桑原運動公園フェンス,大阪府茨木市山手台四丁目６,桑原運動公園フェンス
321,45,4,45-4 山手台北３号児童遊園西側金網,大阪府茨木市山手台七丁目１０,山手台北３号児童遊園西側金網
322,45,5,45-5 山手台小学校正門東の金網,大阪府茨木市山手台四丁目８,山手台小学校正門東の金網
323,45,6,45-6 山手台西公園西側フェンス,大阪府茨木市山手台六丁目１２,山手台西公園西側フェンス
324,45,7,45-7 緑地公園フェンス,大阪府茨木市山手台五丁目２７,緑地公園フェンス
325,46,1,46-1 ハイツ弥栄南側駐車場の歩道鉄柵,大阪府茨木市太田一丁目１,ハイツ弥栄南側駐車場の歩道鉄柵
326,46,2,46-2 太田一丁目児童遊園北側金網,大阪府茨木市太田一丁目１８,太田一丁目児童遊園北側金網
327,46,3,46-3 太田公民館分室東側金網,大阪府茨木市太田二丁目６－１,太田公民館分室東側金網
328,46,4,46-4 ファミリーマート駐車場北側歩道鉄柵,大阪府茨木市太田二丁目１２,ファミリーマート駐車場北側歩道鉄柵
329,46,5,46-5 太田池東側ガードレール,大阪府茨木市花園一丁目１３,太田池東側ガードレール
330,46,6,46-6 太田小学校西側のフェンス,大阪府茨木市花園一丁目２１,太田小学校西側のフェンス
331,46,7,46-7 くすの木公園西側金網,大阪府茨木市高田町１４,くすの木公園西側金網
332,47,1,47-1 山根宅北側道路鉄柵,大阪府茨木市白川二丁目７,山根宅北側道路鉄柵
333,47,2,47-2 白川西公園東側金網,大阪府茨木市白川一丁目１１,白川西公園東側金網
334,47,3,47-3 シャングリラ鮎川東側水路鉄柵,大阪府茨木市鮎川四丁目２８,シャングリラ鮎川東側水路鉄柵
335,47,4,47-4 鮎川第一児童遊園西側金網,大阪府茨木市鮎川三丁目１６,鮎川第一児童遊園西側金網
336,47,5,47-5 松下宅西側水路鉄柵,大阪府茨木市鮎川四丁目２３,松下宅西側水路鉄柵
337,47,6,47-6 白川小学校正門横の塀,大阪府茨木市白川一丁目４,白川小学校正門横の塀
338,47,7,47-7 白川中央公園南側金網,大阪府茨木市白川二丁目２４,白川中央公園南側金網
339,47,8,47-8 白川高層住宅内、京阪バスロータリーのバス停付近（白川３丁目バス停）,大阪府茨木市白川三丁目１,白川高層住宅内、京阪バスロータリーのバス停付近（白川３丁目バス停）
340,48,1,48-1 東洋製缶㈱正門東側道路鉄柵,大阪府茨木市東宇野辺町１,東洋製缶㈱正門東側道路鉄柵
341,48,2,48-2 宇野辺二丁目第三児童遊園金網,大阪府茨木市宇野辺二丁目６,宇野辺二丁目第三児童遊園金網
342,48,3,48-3 モノレ－ル宇野辺駅前自転車駐車場北側金網,大阪府茨木市宇野辺一丁目,モノレ－ル宇野辺駅前自転車駐車場北側金網
343,48,4,48-4 吉野工業所南側歩道鉄柵,大阪府茨木市宇野辺一丁目６,吉野工業所南側歩道鉄柵
344,48,5,48-5 シャンボール茨木南側児童遊園金網,大阪府茨木市宇野辺二丁目２,シャンボール茨木南側児童遊園金網
345,48,6,48-6 北向溝橋西側鉄柵,大阪府茨木市宇野辺二丁目１０,北向溝橋西側鉄柵
346,48,7,48-7 伊藤宅西側水路鉄柵,大阪府茨木市宇野辺二丁目４,伊藤宅西側水路鉄柵
347,49,1,49-1 ＮＨＫ春日丘寮南側道路鉄柵,大阪府茨木市北春日丘二丁目１,ＮＨＫ春日丘寮南側道路鉄柵
348,49,2,49-2 松沢池バス停東側道路鉄柵,大阪府茨木市北春日丘二丁目９,松沢池バス停東側道路鉄柵
349,49,3,49-3 西小学校正門東側の塀,大阪府茨木市北春日丘三丁目12-23,西小学校正門東側の塀
350,49,4,49-4 西小学校西側柵,大阪府茨木市北春日丘三丁目12-23,西小学校西側柵
351,49,5,49-5 西小学校敷地の東端（グラウンド側）擁壁の白いフェンス,大阪府茨木市北春日丘三丁目12-23,西小学校敷地の東端（グラウンド側）擁壁の白いフェンス
352,49,6,49-6 サンライズ春日丘南側道路ガードレール,大阪府茨木市北春日丘四丁目１１,サンライズ春日丘南側道路ガードレール
353,49,7,49-7 マンションＢＥＲＧ南側道路ガードレール,大阪府茨木市北春日丘四丁目１１,マンションＢＥＲＧ南側道路ガードレール
354,50,1,50-1 大和紙器㈱西側ガ－ドレ－ル,大阪府茨木市五日市一丁目１,大和紙器㈱西側ガ－ドレ－ル
355,50,2,50-2 かに道楽東側水路鉄柵,大阪府茨木市南耳原二丁目１,かに道楽東側水路鉄柵
356,50,3,50-3 西太田町西児童遊園北側金網,大阪府茨木市西太田町９－４,西太田町西児童遊園北側金網
357,50,4,50-4 阪本宅東側道路鉄柵,大阪府茨木市西太田町２５,阪本宅東側道路鉄柵
358,50,5,50-5 西河原コミュニティセンター北側水路鉄柵,大阪府茨木市西河原北町９,西河原コミュニティセンター北側水路鉄柵
359,50,6,50-6 西河原公園駐車場付近,大阪府茨木市城の前町１,西河原公園駐車場付近
360,50,7,50-7 太田南公園西側フェンス,大阪府茨木市東太田一丁目５,太田南公園西側フェンス
361,51,1,51-1 府営安威団地 B2･B13棟間の植栽,大阪府茨木市南安威二丁目４,府営安威団地 B2･B13棟間の植栽
362,51,2,51-2 府営安威団地 B1・B3棟間の植栽,大阪府茨木市南安威二丁目４,府営安威団地 B1・B3棟間の植栽
363,51,3,51-3 府営安威団地 B8棟南側の植栽,大阪府茨木市南安威二丁目４,府営安威団地 B8棟南側の植栽
364,51,4,51-4 北中学校南門東側水路鉄柵,大阪府茨木市南安威三丁目１０,北中学校南門東側水路鉄柵
365,51,5,51-5 北中学校正門北側ブロック塀,大阪府茨木市南安威三丁目１０,北中学校正門北側ブロック塀
366,51,6,51-6 北中学校北西角塀,大阪府茨木市南安威三丁目１０,北中学校北西角塀
367,51,7,51-7 西安威一丁目児童遊園東側金網,大阪府茨木市西安威一丁目５,西安威一丁目児童遊園東側金網
368,52,1,52-1 総持寺南側道路前鉄柵,大阪府茨木市総持寺駅前町２－１４,総持寺南側道路前鉄柵
369,52,2,52-2 コインパーキング横鉄柵,大阪府茨木市総持寺一丁目２－２０,コインパーキング横鉄柵
370,52,3,52-3 総持寺住宅第二児童遊園西側金網,大阪府茨木市総持寺二丁目１５,総持寺住宅第二児童遊園西側金網
371,52,4,52-4 行岡学園南側道路鉄柵,大阪府茨木市総持寺一丁目１,行岡学園南側道路鉄柵
372,52,5,52-5 総持寺公園入口西側の金網,大阪府茨木市総持寺駅前町１５,総持寺公園入口西側の金網
373,52,6,52-6 総持寺保育所東側金網,大阪府茨木市総持寺二丁目２－１５,総持寺保育所東側金網
374,52,7,52-7 大紅ビル東側阪急電鉄金網,大阪府茨木市総持寺駅前町６,大紅ビル東側阪急電鉄金網
375,53,1,53-1 合同庁舎西側道路鉄柵,大阪府茨木市東中条町２－１３,合同庁舎西側道路鉄柵
376,53,2,53-2 東中条町児童遊園西側金網,大阪府茨木市東中条町１０,東中条町児童遊園西側金網
377,53,3,53-3 ジオグランデ茨木東中条西側水路鉄柵,大阪府茨木市東中条町１３－１３,ジオグランデ茨木東中条西側水路鉄柵
378,53,4,53-4 下中条町児童遊園南側金網,大阪府茨木市下中条町３,下中条町児童遊園南側金網
379,53,5,53-5 コート中条西側歩道鉄柵,大阪府茨木市下中条町７,コート中条西側歩道鉄柵
380,53,6,53-6 リバティー西中条東側道路鉄柵,大阪府茨木市西中条町１０,リバティー西中条東側道路鉄柵
381,53,7,53-7 ＪＲ茨木南自転車駐車場南側フェンス,大阪府茨木市西中条町２,ＪＲ茨木南自転車駐車場南側フェンス
382,53,8,53-8 ステイツグラン茨木Ｂ棟東側水路鉄柵,大阪府茨木市東中条町６,ステイツグラン茨木Ｂ棟東側水路鉄柵
383,54,1,54-1 山手台南公園西側金網,大阪府茨木市山手台一丁目２,山手台南公園西側金網
384,54,2,54-2 山手台二丁目第２駐車場東側歩道鉄柵,大阪府茨木市山手台二丁目２,山手台二丁目第２駐車場東側歩道鉄柵
385,54,3,54-3 保育園前バス停の公園金網,大阪府茨木市山手台三丁目２７,保育園前バス停の公園金網
386,54,4,54-4 ショッピングモ－ル北側水路金網,大阪府茨木市山手台三丁目３０,ショッピングモ－ル北側水路金網
387,54,5,54-5 山手台南２号児童遊園西側金網,大阪府茨木市山手台一丁目１９,山手台南２号児童遊園西側金網
388,54,6,54-6 テニスクラブ管理事務所南側金網,大阪府茨木市山手台二丁目３,テニスクラブ管理事務所南側金網
389,54,7,54-7 永井宅西側金網,大阪府茨木市山手台三丁目１５,永井宅西側金網
390,55,1,55-1 タナカモータープール南側道路鉄柵,大阪府茨木市真砂一丁目９,タナカモータープール南側道路鉄柵
391,55,2,55-2 真砂二号公園東側金網,大阪府茨木市真砂一丁目１６,真砂二号公園東側金網
392,55,3,55-3 真砂一丁目児童遊園西側金網,大阪府茨木市真砂一丁目２２,真砂一丁目児童遊園西側金網
393,55,4,55-4 平和堂西側広場フェンス,大阪府茨木市真砂一丁目１１,平和堂西側広場フェンス
394,55,5,55-5 玉櫛分団屯所北西歩道鉄柵,大阪府茨木市沢良宜東町１,玉櫛分団屯所北西歩道鉄柵
395,55,6,55-6 沢良宜橋バス停北側植栽,大阪府茨木市沢良宜東町１９,沢良宜橋バス停北側植栽
396,55,7,55-7 沢良宜東町児童遊園南側金網,大阪府茨木市沢良宜東町１１,沢良宜東町児童遊園南側金網
397,56,1,56-1 笠岡宅東側植栽の鉄柵,大阪府茨木市大同町１,笠岡宅東側植栽の鉄柵
398,56,2,56-2 アルコバレーノ南側水路鉄柵,大阪府茨木市星見町１,アルコバレーノ南側水路鉄柵
399,56,3,56-3 中村宅東側ガ－ドレ－ル,大阪府茨木市五十鈴町１１－１１,中村宅東側ガ－ドレ－ル
400,56,4,56-4 中津コミュニティセンタ－南側金網,大阪府茨木市桑田町１３－２２,中津コミュニティセンタ－南側金網
401,56,5,56-5 シニアプラザいばらき北側水路鉄柵,大阪府茨木市桑田町２４－２１,シニアプラザいばらき北側水路鉄柵
402,56,6,56-6 コスモ五十鈴西側歩道鉄柵,大阪府茨木市五十鈴町６,コスモ五十鈴西側歩道鉄柵
403,56,7,56-7 ルイシャンスⅡ 北側歩道鉄柵,大阪府茨木市星見町４,ルイシャンスⅡ 北側歩道鉄柵
404,57,1,57-1 油谷宅東側水路鉄柵,大阪府茨木市水尾一丁目１７,油谷宅東側水路鉄柵
405,57,2,57-2 小山モータープール東側水路鉄柵,大阪府茨木市水尾一丁目１４,小山モータープール東側水路鉄柵
406,57,3,57-3 古山宅北側水路鉄柵,大阪府茨木市水尾一丁目８,古山宅北側水路鉄柵
407,57,4,57-4 アクティブハイツ北側の田の東側歩道鉄柵,大阪府茨木市水尾二丁目１１,アクティブハイツ北側の田の東側歩道鉄柵
408,57,5,57-5 ニチモグリーンタウン北側水路鉄柵,大阪府茨木市水尾三丁目１４,ニチモグリーンタウン北側水路鉄柵
409,57,6,57-6 水尾東公園東側金網,大阪府茨木市水尾三丁目１０,水尾東公園東側金網
410,57,7,57-7 水尾東児童遊園南側金網,大阪府茨木市水尾三丁目１６,水尾東児童遊園南側金網
411,58,1,58-1 ＬＯＧＩ‘Ｑ南茨木 南門北側道路鉄柵,大阪府茨木市蔵垣内一丁目３,ＬＯＧＩ‘Ｑ南茨木 南門北側道路鉄柵
412,58,2,58-2 レーラッハアインス東側田の南側鉄柵,大阪府茨木市蔵垣内二丁目１１,レーラッハアインス東側田の南側鉄柵
413,58,3,58-3 蔵垣内児童遊園西側金網,大阪府茨木市蔵垣内三丁目１５,蔵垣内児童遊園西側金網
414,58,4,58-4 杉本宅東側阪急電鉄線路フェンス,大阪府茨木市丑寅二丁目１９,杉本宅東側阪急電鉄線路フェンス
415,58,5,58-5 コーポラスクマモト西側道路の東側鉄柵,大阪府茨木市蔵垣内三丁目２２,コーポラスクマモト西側道路の東側鉄柵
416,58,6,58-6 ＬＯＧＩ‘Ｑ南茨木 北門東側道路鉄柵,大阪府茨木市蔵垣内一丁目３,ＬＯＧＩ‘Ｑ南茨木 北門東側道路鉄柵
417,58,7,58-7 丑寅公園西側植栽,大阪府茨木市丑寅二丁目６,丑寅公園西側植栽
418,59,1,59-1 新鮮や駐車場南側水路鉄柵,大阪府茨木市鮎川一丁目７,新鮮や駐車場南側水路鉄柵
419,59,2,59-2 ジオ茨木学園町南側歩道金網,大阪府茨木市学園町５,ジオ茨木学園町南側歩道金網
420,59,3,59-3 鮎川公園西側水路鉄柵,大阪府茨木市鮎川一丁目８,鮎川公園西側水路鉄柵
421,59,4,59-4 ジオ茨木学園町２番館東側道路ガードレール,大阪府茨木市鮎川一丁目１１,ジオ茨木学園町２番館東側道路ガードレール
422,59,5,59-5 浪商幼稚園南側歩道鉄柵,大阪府茨木市学園町１,浪商幼稚園南側歩道鉄柵
423,59,6,59-6 東コミュニティセンター東側ガードレール,大阪府茨木市鮎川一丁目２０,東コミュニティセンター東側ガードレール
424,59,7,59-7 立体駐車場北側水路鉄柵,大阪府茨木市学園町４,立体駐車場北側水路鉄柵
425,60,1,60-1 あさぎ里山公園内池の西側木柵,大阪府茨木市彩都あさぎ五丁目,あさぎ里山公園内池の西側木柵
426,60,2,60-2 岩阪橋西側歩道鉄柵,大阪府茨木市彩都やまぶき四丁目,岩阪橋西側歩道鉄柵
427,60,3,60-3 彩都西小学校北側フェンス,大阪府茨木市彩都あさぎ五丁目,彩都西小学校北側フェンス
428,60,4,60-4 彩都西駅自転車駐車場南側フェンス,大阪府茨木市彩都あさぎ一丁目１,彩都西駅自転車駐車場南側フェンス
429,60,5,60-5 彩都あさぎ三丁目バス停南側ガードレール,大阪府茨木市彩都あさぎ四丁目１,彩都あさぎ三丁目バス停南側ガードレール
430,60,6,60-6 彩都西中学校北側フェンス,大阪府茨木市彩都あさぎ四丁目,彩都西中学校北側フェンス
431,60,7,60-7 はしご谷橋北側道路の西側鉄柵,大阪府茨木市彩都やまぶき四丁目,はしご谷橋北側道路の西側鉄柵
432,60,8,60-8 類彩都ビル南側歩道鉄柵,大阪府茨木市彩都やまぶき二丁目１,類彩都ビル南側歩道鉄柵
433,61,1,61-1 三島中学校正門西側の塀,大阪府茨木市西河原一丁目１７－１０,三島中学校正門西側の塀
434,61,2,61-2 西河原公園西側柵,大阪府茨木市西河原二丁目５,西河原公園西側柵
435,61,3,61-3 グレーシィ茨木東側道路鉄柵,大阪府茨木市西河原一丁目１８,グレーシィ茨木東側道路鉄柵
436,61,4,61-4 トヨタカローラ新大阪西側歩道鉄柵,大阪府茨木市三咲町５,トヨタカローラ新大阪西側歩道鉄柵
437,61,5,61-5 西河原公園テニスコート横鉄柵,大阪府茨木市西河原二丁目１８,西河原公園テニスコート横鉄柵
438,61,6,61-6 三島コミュニティセンター前鉄柵,大阪府茨木市西河原二丁目７,三島コミュニティセンター前鉄柵
439,61,7,61-7 ファミリーマート西側歩道鉄柵,大阪府茨木市西河原一丁目８,ファミリーマート西側歩道鉄柵
440,62,1,62-1 美穂ケ丘バス停南側道路鉄柵,大阪府茨木市美穂ケ丘１９,美穂ケ丘バス停南側道路鉄柵
441,62,2,62-2 美穂ケ丘公園北側フェンス,大阪府茨木市美穂ケ丘1３,美穂ケ丘公園北側フェンス
442,62,3,62-3 美穂ケ丘児童遊園東側フェンス,大阪府茨木市美穂ケ丘1２,美穂ケ丘児童遊園東側フェンス
443,62,4,62-4 朝日プラザ千里北Ｃ棟南西側フェンス,大阪府茨木市美穂ケ丘１９,朝日プラザ千里北Ｃ棟南西側フェンス
444,62,5,62-5 朝日プラザ千里北Ｃ棟南東側フェンス,大阪府茨木市美穂ケ丘１９,朝日プラザ千里北Ｃ棟南東側フェンス
445,62,6,62-6 ジョイントビル花千里北側道路フェンス,大阪府茨木市美穂ケ丘５,ジョイントビル花千里北側道路フェンス
446,62,7,62-7 美穂ケ丘公園北側道路鉄柵,大阪府茨木市美穂ケ丘１３,美穂ケ丘公園北側道路鉄柵
